Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG,mpg,MonteCarlo,1,true,25.199129770351377,-0.03110324751642552,25.010608559585723,0.7296793595663913,28703.54512301366,5793.7817312833395,2726.239253046264,-3.4759746156532567,1.6134780725976023,0.029690899557154794
MPG,mpg,Nominal,0,true,25.197536554255592,-0.02997635162786551,25.065989166902124,0.7201917047477194,29216.580902324004,5793.907708832821,2726.1017514135233,-3.3500662216735964,1.7871262441070277,0.020195808312222858
MPG + Integral Action,mpg_integral,MonteCarlo,1,true,25.193258206895052,-0.02933875491433716,25.00000000972046,0.7430729453160748,28667.988680950602,5794.0515754024555,2725.6410314078526,-3.27877656108559,2.264876048083732,0.047208538145179516
MPG + Integral Action,mpg_integral,Nominal,0,true,25.197469168758744,-0.029997167500700337,25.067942661826205,0.7208436637552259,29213.65453551349,5793.9126815036625,2726.0957683649513,-3.3523935630824804,1.7947375643553831,0.02084878325695436
SM-MPG,sm_mpg,MonteCarlo,1,true,25.211620230328293,-0.031716915488065794,25.02395625673861,0.715257176150614,29162.11565574506,5793.199316596487,2727.507900261574,-3.5445630770676577,0.2945056506946842,0.016567833698380875
SM-MPG,sm_mpg,Nominal,0,true,25.19686250263472,-0.029930537400278897,25.0530906063982,0.7215329738837469,29212.80020602316,5793.928110594551,2726.0280990999468,-3.3449394248612103,1.8619749306277487,0.021536341981954914
Q4 SM-MPG,q4_sm_mpg,MonteCarlo,1,true,25.157512351123113,-0.01269632457922808,25.000000009720466,1.1829905980567483,27568.14878544594,5795.751545989266,2722.0259816564617,-1.418888192166165,6.547450995810645,0.5479735782880973
Q4 SM-MPG,q4_sm_mpg,Nominal,0,true,25.197609238356208,-0.02996488629855838,25.05819563140185,0.7221912370224771,29226.566749672296,5793.897199225754,2726.105783682666,-3.3487808154208536,1.7787301710453765,0.022193945040342264
Open Loop,open_loop,MonteCarlo,1,true,24.61158726087981,0.0009364982398311958,25.0000000097205,3.5032765579812257,32145.74026178414,5821.4241914898585,2666.6802981753544,0.10465913162540913,67.35702350714404,3.301482989169759
Open Loop,open_loop,Nominal,0,true,24.97481865302134,0.010404296455794623,25.000000009720477,3.1866310335237826,29539.72987142624,5804.401584685232,2703.531825710789,1.1627407078706022,27.053474906215335,3.076123068372539
