Controller,ControllerSlug,RunType,Simulation,Completed,FinalLongitude_deg,FinalLatitude_deg,FinalAltitude_km,FinalVelocity_kms,FinalHeatLoad_Jm2,FinalPositionX_km,FinalPositionY_km,FinalPositionZ_km,FinalCartesianPositionErrorNorm_km,FinalCartesianVelocityErrorNorm_kms
MPG,mpg,MonteCarlo,1,true,25.164553204856496,-0.018642159692008352,25.000000009720466,1.063719197318124,27743.126614982397,5795.416838652174,2722.738101017123,-2.083369864103241,5.614727635535758,0.4119533077686873
MPG,mpg,Nominal,0,true,25.197536554255592,-0.02997635162786551,25.065989166902124,0.7201917047477194,29216.580902324004,5793.907708832821,2726.1017514135233,-3.3500662216735964,1.7871262441070277,0.020195808312222858
MPG + Integral Action,mpg_integral,MonteCarlo,1,true,25.215791965936056,-0.030486624293115022,25.00000000972046,0.7204643073666134,29341.897396765573,5792.979104044888,2727.919524647139,-3.407057630845156,0.26259147264698046,0.02321500718069728
MPG + Integral Action,mpg_integral,Nominal,0,true,25.197469168758744,-0.029997167500700337,25.067942661826205,0.7208436637552259,29213.65453551349,5793.9126815036625,2726.0957683649513,-3.3523935630824804,1.7947375643553831,0.02084878325695436
SM-MPG,sm_mpg,MonteCarlo,1,true,25.190126520927514,-0.03217276019796151,25.112544552407943,0.713088190438819,28770.77264789488,5794.302233210064,2725.3721639442842,-3.595556304658208,2.6287384995538567,0.01589995559334776
SM-MPG,sm_mpg,Nominal,0,true,25.19686250263472,-0.029930537400278897,25.0530906063982,0.7215329738837469,29212.80020602316,5793.928110594551,2726.0280990999468,-3.3449394248612103,1.8619749306277487,0.021536341981954914
Q4 SM-MPG,q4_sm_mpg,MonteCarlo,1,true,25.17998687024817,-0.02928231765899551,25.00000000972046,0.7232954637710757,28229.31414546769,5794.682759086057,2724.298892080037,-3.272469369986309,3.7477922675025983,0.030510588111329295
Q4 SM-MPG,q4_sm_mpg,Nominal,0,true,25.197609238356208,-0.02996488629855838,25.05819563140185,0.7221912370224771,29226.566749672296,5793.897199225754,2726.105783682666,-3.3487808154208536,1.7787301710453765,0.022193945040342264
Open Loop,open_loop,MonteCarlo,1,true,25.456185448944442,-0.027733287220875393,34.8733048899726,2.610643177789653,27017.583657822885,5790.397620084868,2756.4446187588696,-3.104135266200236,28.881631249819613,2.0890580466467203
Open Loop,open_loop,Nominal,0,true,24.97481865302134,0.010404296455794623,25.000000009720477,3.1866310335237826,29539.72987142624,5804.401584685232,2703.531825710789,1.1627407078706022,27.053474906215335,3.076123068372539
